Country,Year,SuicideRate,AlcoholRate,HomicideRate,GDP_per_capita,SuicideRate_diff,AlcoholRate_roll3,HomicideRate_roll3,GDP_per_capita_roll3,Predicted_diff,Predicted_SuicideRate
South Africa,2001,13.24566946,8.742056228,19.76456747,2847.15191945908,0.11314525000000053,8.742056228,44.59905880333333,3094.28192947614,-0.028925466571177512,
South Africa,2001,13.24566946,8.742056228,70.41625777,2847.15191945908,0.0,8.742056228,44.648861193333325,2970.71692446761,-0.028913704785170868,13.216755755214828
South Africa,2001,13.24566946,8.742056228,43.84114367,2847.15191945908,0.0,8.742056228,44.67398963666667,2847.15191945908,-0.028924520572336965,13.216744939427663
South Africa,2002,14.59886891,8.4838378,19.73642146,2688.23676032806,1.35319945,8.655983418666667,44.66460763333333,2794.18019974874,-0.028276765207786502,13.217392694792213
South Africa,2002,14.59886891,8.4838378,75.20871194,2688.23676032806,0.0,8.569910609333332,46.26209235666666,2741.2084800384,-0.02615866739699958,14.572710242603
South Africa,2002,14.59886891,8.4838378,46.12779557,2688.23676032806,0.0,8.4838378,47.02430965666667,2688.23676032806,-0.024804870150848302,14.574064039849151
South Africa,2003,15.75987039,8.366665631,18.89167674,4062.21755993786,1.1610014799999995,8.444780410333333,46.74272808333333,3146.2303601979934,-0.02463280835743363,14.574236101642567
South Africa,2003,15.75987039,8.366665631,70.70732926,4062.21755993786,0.0,8.405723020666667,45.24226719,3604.2239600679263,-0.02557606619276849,15.734294323807232
South Africa,2003,15.75987039,8.366665631,43.57855754,4062.21755993786,0.0,8.366665631,44.392521179999996,4062.21755993786,-0.025923895858806726,15.733946494141193
South Africa,2004,16.07498067,8.343870926,18.40496991,5221.46333731721,0.31511027999999897,8.359067396,44.23028557,4448.63281906431,-0.02590739930871053,15.733962990691289
South Africa,2004,16.07498067,8.343870926,70.65551013,5221.46333731721,0.0,8.351469160999999,44.21301252666666,4835.048078190761,-0.025758256652158747,16.04922241334784
South Africa,2004,16.07498067,8.343870926,43.33753792,5221.46333731721,0.0,8.343870926,44.13267265333334,5221.46333731721,-0.025666822476067514,16.04931384752393
South Africa,2005,15.63631495,8.402675833,18.90525606,5836.87663325127,-0.4386657199999995,8.363472561666667,44.299434703333326,5426.601102628563,-0.025610871454330438,16.04936979854567
South Africa,2005,15.63631495,8.402675833,67.36535018,5836.87663325127,0.0,8.383074197333334,43.202714719999996,5631.7388679399155,-0.02671105319260195,15.609603896807398
South Africa,2005,15.63631495,8.402675833,42.0654796,5836.87663325127,0.0,8.402675833,42.778695279999994,5836.87663325127,-0.027195689070065726,15.609119260929933
South Africa,2006,16.09959663,8.470211685,17.91543805,6077.38293388876,0.4632816800000015,8.425187783666667,42.44875594333333,5917.045400130432,-0.02765111397864717,15.608663836021352
South Africa,2006,16.09959663,8.470211685,66.63239086,6077.38293388876,0.0,8.447699734333334,42.204436169999994,5997.214167009596,-0.028028193822197386,16.071568436177802
South Africa,2006,16.09959663,8.470211685,41.23377758,6077.38293388876,0.0,8.470211685,41.92720216333333,6077.38293388876,-0.028435391405789254,16.07116123859421
South Africa,2007,15.96085285,8.476132478,16.74180957,6591.85535960564,-0.13874378000000043,8.472185282666667,41.53599266999999,6248.8737424610545,-0.028761821912128904,16.07083480808787
South Africa,2007,15.96085285,8.476132478,64.43506301,6591.85535960564,0.0,8.474158880333333,40.80355005333333,6420.364551033347,-0.029400493338622293,15.931452356661378
South Africa,2007,15.96085285,8.476132478,39.60235426,6591.85535960564,0.0,8.476132478,40.25974227999999,6591.85535960564,-0.029866556911340835,15.93098629308866
South Africa,2008,16.84225694,8.391782519,16.46463811,6184.75474328399,0.8814040899999984,8.448015825,40.16735179333333,6456.155154165091,-0.02976909171791088,15.931083758282089
South Africa,2008,16.84225694,8.391782519,64.95299687,6184.75474328399,0.0,8.419899172,40.33999641333333,6320.4549487245395,-0.029429109605929,16.81282783039407
South Africa,2008,16.84225694,8.391782519,39.73659103,6184.75474328399,0.0,8.391782519,40.384742003333336,6184.75474328399,-0.029206159833668036,16.813050780166332
South Africa,2009,16.40785609,8.248683244,15.51968485,6374.70560042992,-0.4344008499999994,8.344082760666666,40.069757583333335,6248.071695665967,-0.02910529546224091,16.813151644537758
South Africa,2009,16.40785609,8.248683244,61.8164818,6374.70560042992,0.0,8.296383002333334,39.02425256,6311.388648047944,-0.029672884443606426,16.378183205556393
South Africa,2009,16.40785609,8.248683244,37.76697048,6374.70560042992,0.0,8.248683244,38.36771237666667,6374.70560042992,-0.029884556219858128,16.37797153378014
South Africa,2010,18.77949292,8.239291765,14.26669828,7973.47195771517,2.37163683,8.245552751,37.950050186666665,6907.627719525003,-0.030096518632891426,16.377759571367108
South Africa,2010,18.77949292,8.239291765,62.3803985,7973.47195771517,0.0,8.242422258,38.13802242,7440.549838620088,-0.029754303163745163,18.749738616836254
South Africa,2010,18.77949292,8.239291765,37.41591192,7973.47195771517,0.0,8.239291765,38.0210029,7973.47195771517,-0.02969116642168684,18.74980175357831
South Africa,2011,17.29478881,8.336959407,13.71813787,8646.05571071635,-1.4847041099999991,8.271847645666666,37.838149429999994,8197.666542048895,-0.030050875061703834,18.749442044938295
South Africa,2011,17.29478881,8.336959407,59.64637201,8646.05571071635,0.0,8.304403526333333,36.926807266666664,8421.861126382622,-0.03107717778176213,17.26371163221824
South Africa,2011,17.29478881,8.336959407,35.84374182,8646.05571071635,0.0,8.336959407,36.40275056666667,8646.05571071635,-0.03174909998842798,17.263039710011572
South Africa,2012,18.1804921,8.421342829,13.44677299,8076.97678479741,0.8857032899999986,8.365087214333334,36.31229560666667,8456.362735410037,-0.03210299492069467,17.262685815079305
South Africa,2012,18.1804921,8.421342829,60.19931112,8076.97678479741,0.0,8.393215021666666,36.49660864333333,8266.669760103723,-0.032205466980322485,18.148286633019676
South Africa,2012,18.1804921,8.421342829,35.9967612,8076.97678479741,0.0,8.421342829,36.547615103333335,8076.97678479741,-0.03242991948473932,18.14806218051526
South Africa,2013,18.69733573,8.441096914,13.40854924,7331.65467384919,0.5168436300000003,8.427927524,36.53487385333333,7828.536081148003,-0.032560875091806836,18.14793122490819
South Africa,2013,18.69733573,8.441096914,61.37750553,7331.65467384919,0.0,8.434512219,36.92760532333333,7580.0953774985965,-0.03232080817341345,18.665014921826586
South Africa,2013,18.69733573,8.441096914,36.57164607,7331.65467384919,0.0,8.441096914,37.11923361333333,7331.65467384919,-0.03226475809768662,18.665070971902313
South Africa,2014,20.07203895,8.451978748,13.51031696,6856.73137092522,1.3747032200000007,8.444724192,37.15315618666666,7173.346906207867,-0.032305303345218375,18.66503042665478
South Africa,2014,20.07203895,8.451978748,62.52414195,6856.73137092522,0.0,8.44835147,37.535368326666664,7015.039138566543,-0.03202715076613347,20.040011799233866
South Africa,2014,20.07203895,8.451978748,37.21781653,6856.73137092522,0.0,8.451978748,37.75075848,6856.73137092522,-0.03190164647074929,20.04013730352925
South Africa,2015,20.7446501,8.443987747,13.7040224,6112.27382485974,0.6726111500000016,8.449315081,37.81532696,6608.57885557006,-0.031889702098080216,20.04014924790192
South Africa,2015,20.7446501,8.443987747,63.16539622,6112.27382485974,0.0,8.446651414,38.029078383333335,6360.4263402149,-0.031741249818316386,20.712908850181684
South Africa,2015,20.7446501,8.443987747,37.7087931,6112.27382485974,0.0,8.443987747,38.19273724000001,6112.27382485974,-0.03163863408852188,20.713011465911478
South Africa,2016,19.58415594,8.397732327,13.95566931,5651.20585165749,-1.1604941600000025,8.428569273666666,38.27661954333333,5958.584500458989,-0.031483761919479915,20.713166338080523
South Africa,2016,19.58415594,8.397732327,64.3761384,5651.20585165749,0.0,8.413150800333334,38.68020027,5804.8951760582395,-0.031036353876727384,19.55311958612327
South Africa,2016,19.58415594,8.397732327,38.41811251,5651.20585165749,0.0,8.397732327,38.91664007333333,5651.20585165749,-0.03074188595651378,19.553414054043486
South Africa,2017,18.18689117,8.405495174,14.477758,6618.33508255701,-1.3972647699999996,8.400319942666668,39.09066963666667,5973.58226195733,-0.03051460279931628,19.553641337200684
South Africa,2017,18.18689117,8.405495174,66.54763131,6618.33508255701,0.0,8.402907558333334,39.81450060666666,6295.958672257169,-0.02978423103383111,18.15710693896617
South Africa,2017,18.18689117,8.405495174,39.68809079,6618.33508255701,0.0,8.405495174,40.2378267,6618.33508255701,-0.02932883233744459,18.157562337662554
South Africa,2018,19.15264685,8.451478767,13.54616672,6914.1780318076,0.9657556800000009,8.420823038333333,39.92729627333333,6716.949398973873,-0.029705459077743347,18.157185710922256
South Africa,2018,19.15264685,8.451478767,61.9408102,6914.1780318076,0.0,8.436150902666666,38.39168923666667,6815.563715390736,-0.0312030761961994,19.1214437738038
South Africa,2018,19.15264685,8.451478767,36.99597809,6914.1780318076,0.0,8.451478767,37.49431833666667,6914.1780318076,-0.0321166836597853,19.120530166340213
South Africa,2019,20.1403132,7.9399256,13.50828653,6533.71121032856,0.9876663500000014,8.280961044666666,37.481691606666665,6787.355757981252,-0.030833957353874265,19.121812892646126
South Africa,2019,20.1403132,7.9399256,61.51335258,6533.71121032856,0.0,8.110443322333333,37.33920573333334,6660.5334841549075,-0.029670056963831796,20.11064314303617
South Africa,2019,20.1403132,7.9399256,36.78438508,6533.71121032856,0.0,7.9399256,37.268674729999994,6533.71121032856,-0.02844031520821828,20.111872884791783
South Africa,2020,21.09957574,7.759932074,12.96197267,5580.60383075189,0.9592625399999974,7.879927758,37.086570110000004,6216.00875046967,-0.028226264761562727,20.112086935238437
South Africa,2020,21.09957574,7.759932074,58.96711058,5580.60383075189,0.0,7.8199299159999995,36.23782277666667,5898.30629061078,-0.028622217037361702,21.070953522962636
South Africa,2020,21.09957574,7.759932074,35.28086388,5580.60383075189,0.0,7.759932074,35.73664904333334,5580.60383075189,-0.02870012662250682,21.070875613377492
South Africa,2021,22.29580067,7.791869619,12.53324422,6828.75624590017,1.1962249299999996,7.7705779223333336,35.593739559999996,5996.654635801317,-0.02880002792467765,21.07077571207532
South Africa,2021,22.29580067,7.791869619,56.35689053,6828.75624590017,0.0,7.781223770666667,34.72366621,6412.705440850744,-0.029565311041522893,22.266235358958475
South Africa,2021,22.29580067,7.791869619,33.80524961,6828.75624590017,0.0,7.791869619,34.23179478666666,6828.75624590017,-0.02998452541676194,22.265816144583237
